date,sku_id,location_id,sales_quantity,price,base_price,out_of_stock_flag
2022-01-01,1,1,46,100,100,0
2022-01-02,1,1,52,100,100,0
2022-01-03,1,1,63,100,100,0
2022-01-04,1,1,80,100,100,0
2022-01-05,1,1,78,100,100,0
2022-01-06,1,1,68,100,100,0
2022-01-07,1,1,63,100,100,0
2022-01-08,1,1,67,100,100,0
2022-01-09,1,1,70,100,100,0
2022-01-10,1,1,68,100,100,0
2022-01-11,1,1,83,100,100,0
2022-01-12,1,1,82,100,100,0
2022-01-13,1,1,79,100,100,0
2022-01-14,1,1,76,100,100,0
2022-01-15,1,1,61,100,100,0
2022-01-16,1,1,64,80,100,0
2022-01-17,1,1,69,100,100,0
2022-01-18,1,1,71,100,100,0
2022-01-19,1,1,83,100,100,0
2022-01-20,1,1,71,100,100,0
2022-01-21,1,1,70,100,100,0
2022-01-22,1,1,57,100,100,0
2022-01-23,1,1,62,100,100,0
2022-01-24,1,1,77,100,100,0
2022-01-25,1,1,76,80,100,0
2022-01-26,1,1,81,100,100,0
2022-01-27,1,1,77,100,100,0
2022-01-28,1,1,83,100,100,0
2022-01-29,1,1,68,100,100,0
2022-01-30,1,1,70,100,100,0
2022-01-31,1,1,71,100,100,0
2022-02-01,1,1,84,100,100,0
2022-02-02,1,1,84,100,100,0
2022-02-03,1,1,77,100,100,0
2022-02-04,1,1,71,100,100,0
2022-02-05,1,1,66,100,100,0
2022-02-06,1,1,69,100,100,0
2022-02-07,1,1,75,100,100,0
2022-02-08,1,1,84,80,100,0
2022-02-09,1,1,87,100,100,0
2022-02-10,1,1,83,100,100,0
2022-02-11,1,1,74,100,100,0
2022-02-12,1,1,62,80,100,0
2022-02-13,1,1,74,100,100,0
2022-02-14,1,1,80,100,100,0
2022-02-15,1,1,84,100,100,0
2022-02-16,1,1,78,100,100,0
2022-02-17,1,1,77,100,100,0
2022-02-18,1,1,72,80,100,0
2022-02-19,1,1,72,100,100,0
2022-02-20,1,1,85,100,100,0
2022-02-21,1,1,82,100,100,0
2022-02-22,1,1,96,100,100,0
2022-02-23,1,1,89,100,100,0
2022-02-24,1,1,82,100,100,0
2022-02-25,1,1,79,100,100,0
2022-02-26,1,1,65,100,100,0
2022-02-27,1,1,88,100,100,0
2022-02-28,1,1,84,100,100,0
2022-03-01,1,1,90,100,100,0
2022-03-02,1,1,93,100,100,0
2022-03-03,1,1,82,80,100,0
2022-03-04,1,1,79,100,100,0
2022-03-05,1,1,68,100,100,0
2022-03-06,1,1,80,100,100,0
2022-03-07,1,1,81,100,100,0
2022-03-08,1,1,88,100,100,0
2022-03-09,1,1,91,100,100,0
2022-03-10,1,1,90,100,100,0
2022-03-11,1,1,77,100,100,0
2022-03-12,1,1,69,100,100,0
2022-03-13,1,1,72,100,100,0
2022-03-14,1,1,83,100,100,0
2022-03-15,1,1,94,100,100,0
2022-03-16,1,1,100,100,100,0
2022-03-17,1,1,88,100,100,0
2022-03-18,1,1,76,100,100,0
2022-03-19,1,1,74,100,100,0
2022-03-20,1,1,83,100,100,0
2022-03-21,1,1,88,100,100,0
